Name, ARI, VI
Hierarchial Clustering Median Linkage Using Maximum Distance, 0.394, 1.025
Hierarchial Clustering Ward.d2 Linkage Using Euclidean Distance, 0.607, 0.772
Hierarchial Clustering Complete Linkage Using Manhattan Distance, 0.544, 0.965
Hierarchial Clustering Centroid Linkage Using Manhattan Distance, 0.523, 0.903
Hierarchial Clustering Single Linkage Using Euclidean Distance, 0.645, 0.563
Hierarchial Clustering Single Linkage Using Maximum Distance, 0.007, 1.84
Hierarchial Clustering Ward.d2 Linkage Using Manhattan Distance, 0.61, 0.767
Hierarchial Clustering Mcquitty Linkage Using Manhattan Distance, 0.471, 1.128
Hierarchial Clustering Ward.d2 Linkage Using Maximum Distance, 0.537, 1.045
Hierarchial Clustering Centroid Linkage Using Maximum Distance,   0 1.823
Hierarchial Clustering Centroid Linkage Using Euclidean Distance, 0.525, 0.887
Hierarchial Clustering Median Linkage Using Manhattan Distance, 0.429, 0.933
Hierarchial Clustering Mcquitty Linkage Using Euclidean Distance, 0.581, 0.786
Hierarchial Clustering Average Linkage Using Maximum Distance, 0.557, 0.798
Hierarchial Clustering Mcquitty Linkage Using Maximum Distance, 0.564, 0.84
Hierarchial Clustering Ward.d Linkage Using Euclidean Distance, 0.607, 0.772
Hierarchial Clustering Average Linkage Using Euclidean Distance, 0.564, 0.82
Hierarchial Clustering Complete Linkage Using Euclidean Distance, 0.537, 0.947
Hierarchial Clustering Complete Linkage Using Maximum Distance, 0.569, 0.853
Hierarchial Clustering Median Linkage Using Euclidean Distance, 0.411, 1.043
Hierarchial Clustering Ward.d Linkage Using Maximum Distance, 0.523, 1.074
Hierarchial Clustering Single Linkage Using Manhattan Distance, 0.107, 1.505
Hierarchial Clustering Ward.d Linkage Using Manhattan Distance, 0.63, 0.72
Hierarchial Clustering Average Linkage Using Manhattan Distance, 0.617, 0.642
